model,auc_roc,precision,recall,f1,kappa,mae,training_time_min,gap_addressed
Single MSE Regression,0.9620165083979587,0.8311546840958606,0.8790322580645161,0.8544232922732364,0.778312598460845,27.542405770096625,0.7349116524060567,None
SMOTE + Regression,0.9627629270526347,0.7069689336691856,0.9700460829493087,0.8178727537639631,0.7031989195329142,45.952631200258026,1.6104701161384583,Gap 1 (partial)
Minimal Features (6),0.9604594451410575,0.8422247446083996,0.8548387096774194,0.8484848484848485,0.77165738080753,,0.09594898223876953,Arctic physics omitted
Parallel Architecture (YOURS),0.9585449794610077,0.8016877637130801,0.8755760368663594,0.8370220234901329,0.7234,27.365957844078167,47.0,All 4 gaps
